,front_house_area,house_area,street,quality,year_built,year_remodel_add,garage_year_build,basement_quality,basement_area,central_air_conditioning,heating,grade_living_area,wood_deck_area
24,69.30579531442663,8246,Pave,5,1968,2001,1968.0,TA,1060.0,Y,GasA,1060,406
25,110.0,14230,Pave,8,2007,2007,2007.0,Gd,1566.0,Y,GasA,1600,0
26,60.0,7200,Pave,5,1951,2000,2005.0,TA,900.0,Y,GasA,900,222
27,98.0,11478,Pave,8,2007,2008,2008.0,Ex,1704.0,Y,GasA,1704,0
28,47.0,16321,Pave,5,1957,1997,1957.0,TA,1484.0,Y,GasA,1600,288
31,69.30579531442663,8544,Pave,5,1966,2006,1966.0,TA,1228.0,Y,GasA,1228,0
32,85.0,11049,Pave,8,2007,2007,2007.0,Ex,1234.0,Y,GasA,1234,0
33,70.0,10552,Pave,5,1959,1959,1959.0,TA,1398.0,Y,GasA,1700,0
34,60.0,7313,Pave,9,2005,2005,2005.0,Ex,1561.0,Y,GasA,1561,203
35,108.0,13418,Pave,8,2004,2005,2004.0,Ex,1117.0,Y,GasA,2452,113
36,112.0,10859,Pave,5,1994,1995,1995.0,Gd,1097.0,Y,GasA,1097,392
37,74.0,8532,Pave,5,1954,1990,1954.0,TA,1297.0,Y,GasA,1297,0
38,68.0,7922,Pave,5,1953,2007,1953.0,TA,1057.0,Y,GasA,1057,0
40,84.0,8658,Pave,6,1965,1965,1965.0,TA,1088.0,Y,GasA,1324,0
41,115.0,16905,Pave,5,1959,1959,1959.0,TA,1350.0,Y,GasA,1328,0
42,69.30579531442663,9180,Pave,5,1983,1983,1983.0,Gd,840.0,Y,GasA,884,240
43,69.30579531442663,9200,Pave,5,1975,1980,1977.0,Gd,938.0,Y,GasA,938,145
44,70.0,7945,Pave,5,1959,1959,1959.0,TA,1150.0,Y,GasA,1150,0
45,61.0,7658,Pave,9,2005,2005,2005.0,Ex,1752.0,Y,GasA,1752,196
46,48.0,12822,Pave,7,2003,2003,2003.0,Ex,1434.0,Y,GasA,2149,168
47,84.0,11096,Pave,8,2006,2006,2006.0,Gd,1656.0,Y,GasA,1656,0
48,33.0,4456,Pave,4,1920,2008,1978.1134057971014,TA,736.0,Y,GasA,1452,0
49,66.0,7742,Pave,5,1966,1966,1966.0,TA,955.0,Y,GasA,955,0
50,69.30579531442663,13869,Pave,6,1997,1997,1997.0,Gd,794.0,Y,GasA,1470,0
51,52.0,6240,Pave,6,1934,1950,1985.0,TA,816.0,Y,GasA,1176,112
52,110.0,8472,Grvl,5,1963,1963,1963.0,Gd,816.0,N,GasA,816,106
54,60.0,7134,Pave,5,1955,1955,1962.0,TA,384.0,Y,GasA,1360,0
55,100.0,10175,Pave,6,1964,1964,1964.0,TA,1425.0,Y,GasA,1425,0
56,24.0,2645,Pave,8,1999,2000,1999.0,Gd,970.0,Y,GasA,1739,115
57,89.0,11645,Pave,7,2004,2004,2004.0,Gd,860.0,Y,GasA,1720,0
59,60.0,7200,Pave,5,1972,1972,1973.0,TA,780.0,Y,GasA,780,196
60,63.0,13072,Pave,6,2004,2004,2006.0,Gd,1158.0,Y,GasA,1158,0
61,60.0,7200,Pave,5,1920,1996,1935.0,TA,530.0,N,GasA,1111,0
62,44.0,6442,Pave,8,2006,2006,2006.0,Gd,1370.0,Y,GasA,1370,120
63,50.0,10300,Pave,7,1921,1950,1990.0,TA,576.0,Y,GasA,1710,12
65,76.0,9591,Pave,8,2004,2005,2004.0,Ex,1143.0,Y,GasA,2473,192
66,69.30579531442663,19900,Pave,7,1970,1989,1970.0,Gd,1947.0,Y,GasA,2207,301
67,72.0,10665,Pave,7,2003,2003,2003.0,Gd,1453.0,Y,GasA,1479,144
68,47.0,4608,Pave,4,1945,1950,1945.0,TA,747.0,Y,GasA,747,0
69,81.0,15593,Pave,7,1953,1953,1953.0,TA,1304.0,Y,GasW,2287,0
71,69.0,7599,Pave,4,1982,2006,1987.0,TA,845.0,Y,GasA,845,0
72,74.0,10141,Pave,7,1998,1998,1998.0,Gd,832.0,Y,GasA,1718,0
73,85.0,10200,Pave,5,1954,2003,1989.0,TA,1086.0,Y,GasA,1086,0
74,60.0,5790,Pave,3,1915,1950,1915.0,Fa,840.0,N,GasA,1605,0
76,69.30579531442663,8475,Pave,4,1956,1956,1956.0,TA,952.0,Y,GasA,952,0
77,50.0,8635,Pave,5,1948,2001,1948.0,TA,672.0,Y,GasA,1285,0
78,72.0,10778,Pave,4,1968,1968,1978.1134057971014,TA,1768.0,N,GasA,1768,0
79,60.0,10440,Pave,5,1910,1981,1966.0,TA,440.0,Y,GasA,1230,74
80,100.0,13000,Pave,6,1968,1968,1968.0,Gd,896.0,Y,GasA,2142,0
81,32.0,4500,Pave,6,1998,1998,1998.0,Ex,1237.0,Y,GasA,1337,0
82,78.0,10206,Pave,8,2007,2007,2007.0,Gd,1563.0,Y,GasA,1563,144
83,80.0,8892,Pave,5,1960,1960,1974.0,TA,1065.0,Y,GasA,1065,74
84,69.30579531442663,8530,Pave,7,1995,1996,1995.0,Gd,384.0,Y,GasA,1474,120
85,121.0,16059,Pave,8,1991,1992,1991.0,Gd,1288.0,Y,GasA,2417,127
86,122.0,11911,Pave,6,2005,2005,2005.0,Gd,684.0,Y,GasA,1560,100
87,40.0,3951,Pave,6,2009,2009,2009.0,Gd,612.0,Y,GasA,1224,0
88,105.0,8470,Pave,3,1915,1982,1978.1134057971014,TA,1013.0,N,GasA,1526,0
89,60.0,8070,Pave,4,1994,1995,1978.1134057971014,Gd,990.0,Y,GasA,990,0
91,85.0,8500,Pave,5,1961,1961,1961.0,TA,1235.0,Y,GasA,1235,0
92,80.0,13360,Pave,5,1921,2006,1921.0,Gd,876.0,Y,GasA,964,0
93,60.0,7200,Pave,6,1910,1998,1900.0,TA,1214.0,N,GasW,2291,0
94,69.0,9337,Pave,6,1997,1997,1997.0,Gd,824.0,Y,GasA,1786,0
95,69.30579531442663,9765,Pave,6,1993,1993,1993.0,Gd,680.0,Y,GasA,1470,232
96,78.0,10264,Pave,7,1999,1999,1999.0,Gd,1588.0,Y,GasA,1588,158
97,73.0,10921,Pave,4,1965,1965,1965.0,TA,960.0,Y,GasA,960,120
98,85.0,10625,Pave,5,1920,1950,1920.0,TA,458.0,N,GasA,835,0
99,77.0,9320,Pave,4,1959,1959,1978.1134057971014,TA,950.0,Y,GasA,1225,352
100,69.30579531442663,10603,Pave,6,1977,2001,1977.0,TA,1610.0,Y,GasA,1610,168
101,77.0,9206,Pave,6,1985,1985,1985.0,Gd,741.0,Y,GasA,1732,192
103,94.0,10402,Pave,7,2009,2009,2009.0,Gd,1226.0,Y,GasA,1226,0
104,69.30579531442663,7758,Pave,7,1931,1950,1951.0,TA,1040.0,Y,GasA,1818,0
105,75.0,9375,Pave,8,2003,2004,2003.0,Ex,1053.0,Y,GasA,1992,140
107,50.0,6000,Pave,5,1948,1950,1948.0,TA,789.0,Y,GasA,789,0
108,85.0,8500,Pave,5,1919,2005,1978.1134057971014,TA,793.0,N,GasW,1517,0
109,105.0,11751,Pave,6,1977,1977,1977.0,Gd,1844.0,Y,GasA,1844,0
110,75.0,9525,Pave,6,1954,1972,1954.0,TA,994.0,Y,GasA,1855,182
111,69.30579531442663,7750,Pave,7,2000,2000,2000.0,Gd,384.0,Y,GasA,1430,180
113,69.30579531442663,21000,Pave,6,1953,1953,1953.0,Gd,1809.0,Y,GasA,2259,166
114,61.0,7259,Pave,6,1945,2002,1945.0,TA,1028.0,Y,GasA,2320,224
115,34.0,3230,Pave,6,1999,1999,1999.0,Gd,729.0,Y,GasA,1458,0
116,69.30579531442663,11616,Pave,5,1962,1962,1962.0,TA,1092.0,Y,GasA,1092,0
117,74.0,8536,Pave,5,2006,2007,2007.0,Gd,1125.0,Y,GasA,1125,80
119,65.0,8461,Pave,6,2005,2006,2005.0,Gd,728.0,Y,GasA,1456,0
120,69.30579531442663,21453,Pave,6,1969,1969,1969.0,TA,938.0,Y,GasA,988,0
121,50.0,6060,Pave,4,1939,1950,1979.0,TA,732.0,Y,GasA,1123,0
122,75.0,9464,Pave,6,1958,1958,1958.0,TA,1080.0,Y,GasA,1080,0
123,55.0,7892,Pave,6,1993,1993,1993.0,Gd,1199.0,Y,GasA,1199,0
124,48.0,17043,Pave,6,1979,1998,1979.0,Gd,1362.0,Y,GasA,1586,192
125,60.0,6780,Pave,6,1935,1982,1978.1134057971014,TA,520.0,N,GasA,754,53
126,69.30579531442663,4928,Pave,6,1976,1976,1977.0,Gd,1078.0,Y,GasA,958,0
127,55.0,4388,Pave,5,1930,1950,1978.1134057971014,TA,672.0,Y,GasA,840,0
128,69.0,7590,Pave,6,1966,1966,1966.0,TA,660.0,Y,GasA,1348,188
129,69.0,8973,Pave,5,1958,1991,1998.0,TA,1008.0,Y,GasA,1053,0
130,88.0,14200,Pave,7,1966,1966,1966.0,TA,924.0,Y,GasA,2157,105
131,69.30579531442663,12224,Pave,6,2000,2000,2000.0,Gd,992.0,Y,GasA,2054,24
132,75.0,7388,Pave,5,1959,2002,1974.0,TA,1063.0,Y,GasA,1327,0
133,69.30579531442663,6853,Pave,8,2001,2002,2001.0,Ex,1267.0,Y,GasA,1296,192
134,78.0,10335,Pave,5,1968,1993,1968.0,TA,1461.0,Y,GasA,1721,0
135,80.0,10400,Pave,7,1970,1970,1970.0,TA,1304.0,Y,GasA,1682,98
136,69.30579531442663,10355,Pave,5,1967,1967,1967.0,TA,1214.0,Y,GasA,1214,0
137,82.0,11070,Pave,7,1988,1989,1989.0,TA,1907.0,Y,GasA,1959,0
138,73.0,9066,Pave,8,1999,2000,1999.0,Gd,1004.0,Y,GasA,1852,224
139,65.0,15426,Pave,6,1997,1997,1997.0,Gd,928.0,Y,GasA,1764,276
140,70.0,10500,Pave,4,1971,1971,1978.1134057971014,TA,864.0,Y,GasA,864,0
141,78.0,11645,Pave,7,2005,2005,2005.0,Gd,1734.0,Y,GasA,1734,160
142,71.0,8520,Pave,5,1952,1952,2000.0,TA,910.0,Y,GasA,1385,0
143,78.0,10335,Pave,7,1999,1999,1999.0,Gd,1490.0,Y,GasA,1501,144
144,70.0,9100,Pave,5,1963,1963,1963.0,TA,1728.0,Y,GasA,1728,0
145,24.0,2522,Pave,6,2004,2006,2004.0,Gd,970.0,Y,GasA,1709,0
146,51.0,6120,Pave,5,1931,1993,1931.0,TA,715.0,Y,GasA,875,48
147,69.30579531442663,9505,Pave,7,2001,2001,2001.0,Gd,884.0,Y,GasA,2035,144
148,63.0,7500,Pave,7,2004,2005,1978.1134057971014,Gd,1080.0,Y,GasA,1080,0
149,69.30579531442663,6240,Pave,5,1936,1950,1936.0,Gd,896.0,Y,GasA,1344,200
150,120.0,10356,Pave,5,1975,1975,1975.0,TA,969.0,Y,GasA,969,0
151,107.0,13891,Pave,8,2007,2008,2007.0,Ex,1710.0,Y,GasA,1710,0
152,69.30579531442663,14803,Pave,6,1971,1971,1971.0,TA,825.0,Y,GasA,1993,0
153,69.30579531442663,13500,Pave,6,1960,1975,1960.0,Gd,1602.0,Y,GasA,1252,409
154,84.0,11340,Pave,6,1923,1950,1923.0,TA,1200.0,Y,GasA,1200,0
155,60.0,9600,Pave,6,1924,1950,1978.1134057971014,TA,572.0,N,Grav,1096,0
157,92.0,12003,Pave,8,2009,2010,2009.0,Ex,774.0,Y,GasA,1968,0
158,100.0,12552,Pave,7,2004,2005,2004.0,Gd,991.0,Y,GasA,1947,0
159,134.0,19378,Pave,7,2005,2006,2006.0,Gd,1392.0,Y,GasA,2462,239
160,69.30579531442663,11120,Pave,6,1984,1984,1984.0,Gd,1232.0,Y,GasA,1232,0
161,110.0,13688,Pave,9,2003,2004,2003.0,Ex,1572.0,Y,GasA,2668,400
162,95.0,12182,Pave,7,2005,2005,2005.0,Gd,1541.0,Y,GasA,1541,0
163,55.0,5500,Pave,4,1956,1956,1978.1134057971014,TA,882.0,Y,GasA,882,0
164,40.0,5400,Pave,6,1926,2004,1926.0,TA,1149.0,Y,GasA,1616,0
165,62.0,10106,Pave,5,1940,1999,1978.1134057971014,TA,644.0,Y,GasA,1355,140
166,69.30579531442663,10708,Pave,5,1955,1993,1955.0,TA,1617.0,Y,GasA,1867,476
167,86.0,10562,Pave,8,2007,2007,2007.0,Ex,1582.0,Y,GasA,2161,178
168,62.0,8244,Pave,7,2004,2004,2004.0,Gd,840.0,Y,GasA,1720,100
170,69.30579531442663,12358,Pave,5,1941,1950,1991.0,TA,720.0,Y,GasA,1382,237
172,44.0,5306,Pave,7,1987,1987,1987.0,Gd,1064.0,Y,GasA,1767,441
173,80.0,10197,Pave,6,1961,1961,1961.0,TA,1362.0,Y,GasA,1362,0
174,47.0,12416,Pave,6,1986,1986,1986.0,Gd,1606.0,Y,GasA,1651,192
175,84.0,12615,Pave,6,1950,2001,1950.0,TA,1202.0,Y,GasA,2158,0
176,97.0,10029,Pave,6,1988,1989,1988.0,Gd,1151.0,Y,GasA,2060,0
177,69.30579531442663,13650,Pave,5,1958,1958,1958.0,TA,1052.0,Y,GasA,1920,0
179,60.0,8520,Pave,5,1923,2006,1935.0,TA,968.0,Y,GasA,968,0
180,69.30579531442663,2117,Pave,6,2000,2000,2000.0,Gd,756.0,Y,GasA,1525,0
181,54.0,7588,Pave,7,1920,1950,1920.0,Fa,793.0,Y,GasA,1802,0
183,63.0,11426,Pave,7,2003,2003,2003.0,Gd,1362.0,Y,GasA,2082,280
184,92.0,7438,Pave,5,1908,1991,1986.0,Fa,504.0,Y,GasA,1252,104
186,69.30579531442663,9947,Pave,7,1990,1991,1990.0,Gd,1188.0,Y,GasA,1217,168
187,60.0,10410,Pave,5,1916,1987,1916.0,Fa,660.0,Y,GasA,1656,0
188,64.0,7018,Pave,5,1979,1979,1979.0,Gd,1086.0,Y,GasA,1224,120
189,41.0,4923,Pave,8,2001,2002,2001.0,Ex,1593.0,Y,GasA,1593,0
191,69.30579531442663,7472,Pave,7,1972,2004,1972.0,TA,725.0,Y,GasA,1479,0
192,68.0,9017,Pave,7,1999,1999,1999.0,Gd,1431.0,Y,GasA,1431,0
193,24.0,2522,Pave,7,2004,2004,2004.0,Gd,970.0,Y,GasA,1709,0
194,60.0,7180,Pave,5,1972,1972,1989.0,TA,864.0,Y,GasA,864,0
195,24.0,2280,Pave,6,1976,1976,1976.0,Gd,855.0,Y,GasA,1456,87
196,79.0,9416,Pave,7,2007,2007,2007.0,Ex,1726.0,Y,GasA,1726,171
198,92.0,5520,Pave,6,1912,1950,1978.1134057971014,TA,755.0,Y,GasA,2229,0
199,76.0,9591,Pave,8,2004,2005,2004.0,Ex,1713.0,Y,GasA,1713,0
200,80.0,8546,Pave,4,2003,2004,2003.0,Gd,1121.0,Y,GasA,1121,132
201,75.0,10125,Pave,6,1977,1977,1980.0,TA,1196.0,Y,GasA,1279,238
202,50.0,7000,Pave,6,1924,1950,1924.0,Fa,617.0,Y,GasA,1310,0
203,69.30579531442663,4438,Pave,6,2004,2004,2004.0,Gd,848.0,Y,GasA,848,149
204,50.0,3500,Pave,5,1947,1950,1948.0,TA,720.0,Y,GasA,1284,0
205,99.0,11851,Pave,7,1990,1990,1990.0,Gd,1424.0,Y,GasA,1442,0
206,40.0,13673,Pave,5,1962,1962,1962.0,TA,1140.0,Y,GasA,1696,0
207,69.30579531442663,12493,Pave,4,1960,1960,1960.0,TA,1100.0,Y,GasA,1100,355
208,69.30579531442663,14364,Pave,7,1988,1989,1988.0,Gd,1157.0,Y,GasA,2062,60
209,75.0,8250,Pave,6,1964,1964,1964.0,Gd,1092.0,Y,GasA,1092,0
210,67.0,5604,Pave,5,1925,1950,1978.1134057971014,TA,864.0,N,GasA,864,0
211,83.0,10420,Pave,6,2009,2009,2009.0,Gd,1212.0,Y,GasA,1212,100
212,72.0,8640,Pave,7,2009,2009,2009.0,Gd,900.0,Y,GasA,1852,168
213,43.0,13568,Pave,5,1995,1995,1996.0,Gd,990.0,Y,GasA,990,224
214,69.30579531442663,10900,Pave,6,1977,1977,1977.0,Gd,689.0,Y,GasA,1392,0
215,72.0,10011,Pave,5,1957,1996,1957.0,TA,1070.0,Y,GasA,1236,0
216,65.0,8450,Pave,7,2004,2004,2004.0,Gd,1436.0,Y,GasA,1436,139
217,57.0,9906,Pave,4,1925,1950,1940.0,TA,686.0,N,GasA,1328,0
218,69.30579531442663,15660,Pave,7,1939,2006,1939.0,TA,798.0,Y,GasA,1954,0
219,43.0,3010,Pave,7,2005,2006,2005.0,Gd,1248.0,Y,GasA,1248,108
220,73.0,8990,Pave,7,2006,2006,2006.0,Gd,1498.0,Y,GasA,1498,351
221,69.30579531442663,8068,Pave,6,2002,2002,2002.0,Gd,1010.0,Y,GasA,2267,120
222,85.0,11475,Pave,6,1975,1975,1975.0,Gd,713.0,Y,GasA,1552,209
223,70.0,10500,Pave,4,1971,1971,1989.0,TA,864.0,Y,GasA,864,216
226,82.0,9950,Pave,7,1995,1995,1995.0,Gd,1203.0,Y,GasA,2520,224
228,70.0,8521,Pave,5,1967,1967,1974.0,TA,912.0,Y,GasA,912,0
229,43.0,3182,Pave,7,2005,2006,2005.0,Gd,1373.0,Y,GasA,1555,143
230,73.0,8760,Pave,6,1959,1959,1959.0,TA,1194.0,Y,GasA,1194,0
233,75.0,10650,Pave,5,1976,1976,1976.0,TA,894.0,Y,GasA,894,365
234,69.30579531442663,7851,Pave,6,2002,2002,2002.0,Gd,860.0,Y,GasA,1960,288
236,65.0,8773,Pave,7,2004,2004,2004.0,Gd,1414.0,Y,GasA,1414,132
237,69.30579531442663,9453,Pave,7,1993,2003,1993.0,Gd,996.0,Y,GasA,1744,370
238,93.0,12030,Pave,8,2007,2007,2007.0,Ex,1694.0,Y,GasA,1694,168
239,52.0,8741,Pave,6,1945,1950,1949.0,TA,735.0,Y,GasA,1487,0
240,75.0,9000,Pave,8,2008,2008,2008.0,Gd,1566.0,Y,GasA,1566,144
241,40.0,3880,Pave,5,1945,1997,1978.1134057971014,TA,686.0,Y,GasA,866,58
243,75.0,10762,Pave,6,1980,1980,1980.0,Gd,626.0,Y,GasA,1217,0
244,69.30579531442663,8880,Pave,7,1994,2002,1994.0,Gd,948.0,Y,GasA,2110,0
245,80.0,10400,Pave,7,1988,1988,1988.0,Gd,1845.0,Y,GasA,1872,197
246,69.0,9142,Pave,6,1910,1950,1910.0,Fa,1020.0,N,GasA,1928,0
247,75.0,11310,Pave,6,1954,1954,1954.0,TA,1367.0,Y,GasA,1375,0
248,72.0,11317,Pave,7,2003,2003,2003.0,Gd,840.0,Y,GasA,1668,144
249,69.30579531442663,159000,Pave,6,1958,2006,1958.0,Gd,1444.0,Y,GasA,2144,0
251,44.0,4750,Pave,8,2006,2007,2006.0,Gd,1573.0,Y,GasA,1625,123
252,65.0,8366,Pave,6,2004,2004,2004.0,Gd,798.0,Y,GasA,1640,138
253,85.0,9350,Pave,6,1964,1991,1964.0,Gd,1302.0,Y,GasA,1302,333
254,70.0,8400,Pave,5,1957,1957,1957.0,TA,1314.0,Y,GasA,1314,250
255,66.0,8738,Pave,7,1999,1999,1999.0,Gd,975.0,Y,GasA,2291,192
256,64.0,8791,Pave,6,2003,2003,2003.0,Gd,864.0,Y,GasA,1728,216
257,68.0,8814,Pave,7,2006,2006,2006.0,Gd,1604.0,Y,GasA,1604,123
258,80.0,12435,Pave,7,2001,2001,2001.0,Gd,963.0,Y,GasA,1792,0
260,120.0,19296,Pave,6,1962,1962,1991.0,TA,1362.0,Y,GasA,1382,0
261,69.0,9588,Pave,8,2007,2007,2007.0,Ex,1482.0,Y,GasA,2574,0
262,88.0,8471,Pave,6,1977,1995,1978.0,Gd,506.0,Y,GasA,1212,292
263,50.0,5500,Pave,5,1929,2001,1974.0,TA,926.0,Y,GasA,1316,0
265,78.0,12090,Pave,6,1981,1981,1981.0,Gd,1422.0,Y,GasA,1422,276
266,70.0,11207,Pave,6,1997,1997,1997.0,Gd,802.0,Y,GasA,1511,95
267,60.0,8400,Pave,5,1939,1997,1939.0,TA,720.0,Y,GasA,2192,262
268,71.0,6900,Pave,5,1940,1955,1966.0,TA,740.0,Y,GasA,778,0
269,69.30579531442663,7917,Pave,6,1976,1976,1987.0,TA,1143.0,Y,GasA,1113,370
270,84.0,10728,Pave,8,2006,2006,2006.0,Gd,1095.0,Y,GasA,1939,192
271,73.0,39104,Pave,7,1954,2005,1954.0,Gd,1385.0,Y,GasA,1363,81
272,92.0,11764,Pave,8,1999,2007,1999.0,Gd,1152.0,Y,GasA,2270,132
273,80.0,9600,Pave,6,1958,1988,1958.0,TA,1240.0,Y,GasA,1632,289
274,76.0,8314,Pave,5,1982,1982,1982.0,TA,816.0,Y,GasA,816,168
275,55.0,7264,Pave,7,1925,2007,1978.0,TA,952.0,N,GasW,1548,74
276,129.0,9196,Pave,7,2003,2003,2003.0,Ex,1560.0,Y,GasA,1560,100
277,140.0,19138,Pave,4,1951,1951,1951.0,TA,864.0,Y,GasA,864,0
278,107.0,14450,Pave,9,2006,2007,2007.0,Ex,2121.0,Y,GasA,2121,124
279,83.0,10005,Pave,7,1977,1977,1977.0,Gd,1160.0,Y,GasA,2022,288
280,82.0,11287,Pave,7,1989,1989,1989.0,Gd,807.0,Y,GasA,1982,0
281,60.0,7200,Pave,6,2006,2006,2006.0,Gd,1262.0,Y,GasA,1262,0
282,34.0,5063,Pave,7,2007,2008,2008.0,Gd,1314.0,Y,GasA,1314,172
283,74.0,9612,Pave,8,2008,2009,2008.0,Gd,1468.0,Y,GasA,1468,210
284,50.0,8012,Pave,6,1992,1992,1992.0,Gd,1575.0,Y,GasA,1575,0
285,35.0,4251,Pave,7,2006,2007,2006.0,Gd,625.0,Y,GasA,1250,0
286,77.0,9786,Pave,6,1962,1981,1962.0,TA,912.0,Y,GasA,1734,0
287,69.30579531442663,8125,Pave,4,1971,1971,1978.1134057971014,TA,858.0,Y,GasA,858,0
288,69.30579531442663,9819,Pave,5,1967,1967,1970.0,TA,882.0,Y,GasA,900,0
289,60.0,8730,Pave,6,1915,2003,2003.0,TA,698.0,Y,GasA,1396,0
290,120.0,15611,Pave,8,2006,2006,2006.0,Gd,1079.0,Y,GasA,1919,0
291,55.0,5687,Pave,5,1912,2000,1978.1134057971014,TA,780.0,N,GasA,1716,0
292,60.0,11409,Pave,5,1949,2008,1949.0,TA,768.0,Y,GasA,1716,0
293,69.30579531442663,16659,Pave,7,1977,1994,1977.0,TA,795.0,Y,GasA,2263,0
294,80.0,9600,Pave,6,1953,1953,1953.0,TA,1416.0,Y,GasA,1644,110
295,37.0,7937,Pave,6,1984,1984,1984.0,TA,1003.0,Y,GasA,1003,120
296,75.0,13710,Pave,5,1950,1950,1950.0,TA,910.0,Y,GasA,1558,289
297,66.0,7399,Pave,7,1997,1998,1997.0,Gd,975.0,Y,GasA,1950,0
298,90.0,11700,Pave,6,1968,1968,1968.0,TA,702.0,Y,GasA,1743,224
299,80.0,14000,Pave,6,1950,2004,1950.0,TA,1092.0,Y,GasA,1152,0
300,90.0,15750,Pave,5,1953,1953,1953.0,TA,1165.0,Y,GasA,1336,0
301,66.0,16226,Pave,8,1998,1999,1998.0,Gd,1028.0,Y,GasA,2452,208
302,118.0,13704,Pave,7,2001,2002,2001.0,Gd,1541.0,Y,GasA,1541,468
303,70.0,9800,Pave,5,1972,1972,1975.0,TA,894.0,Y,GasA,894,256
305,80.0,10386,Pave,8,2004,2005,2004.0,Gd,2000.0,Y,GasA,2000,168
306,116.0,13474,Pave,7,1990,1991,1990.0,Gd,700.0,Y,GasA,2243,127
307,69.30579531442663,7920,Pave,6,1920,1950,1978.1134057971014,TA,319.0,Y,GasA,1406,0
308,69.30579531442663,12342,Pave,4,1940,1950,1961.0,TA,861.0,Y,GasA,861,158
309,90.0,12378,Pave,9,2003,2004,2003.0,Ex,1896.0,Y,GasA,1944,208
310,69.30579531442663,7685,Pave,6,1993,1994,1993.0,Gd,697.0,Y,GasA,1501,190
311,50.0,8000,Pave,6,1948,2002,1948.0,TA,972.0,Y,GasA,972,0
312,65.0,7800,Pave,5,1939,1950,1939.0,Gd,793.0,Y,GasA,1118,0
314,60.0,9600,Pave,7,1925,1990,1925.0,TA,728.0,Y,GasA,1641,0
315,71.0,7795,Pave,7,2004,2005,2004.0,Gd,716.0,Y,GasA,1432,100
316,94.0,13005,Pave,7,1980,1980,1983.0,Gd,845.0,Y,GasA,2353,288
317,75.0,9000,Pave,8,2006,2006,2006.0,Gd,1088.0,Y,GasA,1959,208
318,90.0,9900,Pave,7,1993,1993,1993.0,Gd,1347.0,Y,GasA,2646,340
319,69.30579531442663,14115,Pave,7,1980,1980,1980.0,Gd,1372.0,Y,GasA,1472,233
320,111.0,16259,Pave,9,2006,2006,2006.0,Ex,1249.0,Y,GasA,2596,240
321,99.0,12099,Pave,8,2004,2004,2004.0,Ex,1136.0,Y,GasA,2468,184
323,49.0,5820,Pave,3,1955,2005,1955.0,TA,1162.0,Y,GasA,1163,142
325,50.0,5000,Pave,5,1941,1950,1941.0,TA,720.0,N,GasA,803,0
326,32.0,10846,Pave,8,1993,1993,1993.0,Gd,1719.0,Y,GasA,1719,122
327,80.0,11600,Pave,6,1960,1960,1960.0,TA,1383.0,Y,GasA,1383,0
328,69.30579531442663,11888,Pave,6,1916,1994,1930.0,TA,844.0,N,GasA,2134,0
330,69.30579531442663,10624,Pave,5,1964,1964,2002.0,TA,1728.0,Y,GasA,1728,155
331,70.0,8176,Pave,5,1958,1992,1958.0,TA,1056.0,Y,GasA,1056,0
