,house_area,quality,year_built,year_remodel_add,garage_year_build,number_of_bathrooms,basement_area,has_Fireplaces_or_not,Total_rooms,grade_living_area,garage_area,garage_capacite,SalePrice
106,2592,5,1976,1976,1976,1,536,0,4,1112,336,1,85000
107,2628,7,2003,2003,2003,2,764,0,6,1626,474,2,175500
108,2645,8,1999,1999,1999,2,960,0,7,1586,480,2,173310
109,2645,8,1999,2000,1999,2,776,0,5,1441,492,2,174000
110,2645,8,1999,2000,1999,2,970,0,7,1739,480,2,172500
111,2645,8,1999,2000,2000,2,960,0,7,1607,480,2,173310
112,2651,7,2000,2000,2000,2,673,0,6,1382,490,2,165000
113,2665,5,1976,1976,1976,1,264,1,4,1304,336,1,115000
114,2665,5,1976,1976,1976,2,550,1,6,1475,336,1,178891
115,2665,5,1977,1977,1977,1,264,1,5,1304,336,1,167411
116,2665,5,1977,1977,1977,2,757,1,6,1475,336,1,127000
117,2760,6,1973,1973,1973,1,525,0,6,1092,440,2,175332
119,2887,6,1996,1997,1996,1,1291,1,6,1291,431,2,173000
120,2938,7,2002,2002,2002,2,1368,1,5,1511,398,2,154672
121,2980,6,2000,2000,2000,2,756,0,5,1512,440,2,151164
122,2998,6,2000,2000,2000,2,756,0,4,1512,440,2,155412
123,2998,6,2000,2000,2000,2,756,0,4,1524,440,2,155895
124,3000,5,1922,1950,1977,2,1040,0,11,2128,0,0,183072
125,3000,6,2009,2009,2009,2,612,0,4,1224,528,2,173733
126,3010,7,2005,2006,2005,2,1142,0,6,1142,440,2,155919
127,3010,7,2005,2006,2005,2,1248,0,5,1248,438,2,167240
128,3013,7,2005,2005,2005,2,1362,1,6,1506,440,2,213490
129,3068,6,1920,1993,1920,1,662,0,6,1324,180,1,161298
130,3072,7,2004,2004,2004,2,1365,1,7,1548,388,2,159355
131,3072,7,2004,2004,2004,2,1375,1,6,1414,398,2,178740
132,3087,7,2006,2006,2006,2,1220,1,6,1364,437,2,161595
133,3136,7,2003,2003,2003,2,1405,1,6,1405,478,2,171750
134,3153,5,1920,1990,1920,1,967,1,5,967,180,1,156407
135,3180,6,2005,2005,2005,2,600,0,5,1200,480,2,153353
136,3180,7,2005,2005,2005,2,600,0,4,1200,480,2,144152
137,3180,7,2005,2005,2005,2,600,0,4,1200,480,2,151000
138,3180,7,2007,2007,2007,2,689,0,5,1392,540,2,151143
139,3182,7,2004,2005,2004,2,600,0,4,1200,480,2,151000
140,3182,7,2005,2006,2005,2,1145,1,5,1145,397,2,160200
141,3182,7,2005,2006,2005,2,1220,1,5,1220,397,2,155774
142,3182,7,2005,2006,2005,2,1346,1,7,1504,437,2,191000
143,3182,7,2005,2006,2005,2,1346,1,7,1504,457,2,181000
144,3182,7,2005,2006,2005,2,1373,1,7,1555,430,2,192500
145,3182,7,2007,2007,2007,2,1266,1,6,1266,388,2,159895
146,3182,8,2004,2005,2004,2,1256,1,6,1269,430,2,192000
147,3196,7,2003,2004,2003,2,1374,1,7,1557,420,2,234000
148,3196,8,2003,2003,2003,2,1273,1,7,1456,400,2,215000
149,3203,7,2006,2006,2006,2,1145,0,6,1145,437,2,147183
150,3215,7,2004,2004,2004,2,600,0,4,1200,480,2,150521
151,3230,6,1999,1999,1999,2,729,0,6,1471,440,2,172500
152,3230,6,1999,1999,1999,2,729,1,5,1458,440,2,176000
153,3242,7,2003,2003,2003,2,1405,1,6,1405,478,2,152163
155,3316,8,2005,2005,2005,1,1247,1,4,1247,550,2,197000
156,3363,7,2004,2004,2004,2,976,0,7,1708,380,2,130000
157,3378,7,1946,1992,1947,1,651,2,6,1389,240,1,135000
158,3435,7,2004,2005,2004,2,1235,0,5,1245,495,2,141684
159,3480,7,2003,2003,2003,2,1405,1,6,1405,478,2,159675
160,3500,3,1945,1950,1977,1,370,0,4,670,0,0,157090
161,3500,5,1947,1950,1948,1,720,0,5,1284,240,1,110000
162,3515,7,2004,2004,2004,2,840,0,3,1680,588,2,147797
163,3523,8,2006,2007,2006,2,1141,0,5,1151,484,2,151611
164,3600,5,1930,2005,2004,1,687,1,6,1358,336,1,170563
166,3600,6,1917,2007,1917,1,624,1,5,1288,280,1,166558
167,3604,7,2007,2007,2007,2,689,0,5,1392,540,2,146000
168,3606,7,2006,2007,2006,2,1352,1,5,1352,466,2,158404
169,3621,8,2003,2003,2003,2,1406,1,7,1589,630,3,161748
170,3628,7,2004,2004,2004,1,1143,1,5,1143,588,2,142754
171,3635,7,2007,2007,2007,2,1386,1,7,1569,660,3,175900
173,3672,5,1922,1950,1922,1,816,0,5,816,100,1,159638
174,3675,5,2005,2005,2005,1,547,0,5,1072,525,2,145000
175,3675,6,2005,2005,2005,1,547,0,5,1072,525,2,148000
176,3675,6,2005,2005,2005,1,547,0,5,1072,525,2,155225
177,3675,6,2005,2006,2005,1,547,0,5,1072,525,2,152324
178,3675,6,2005,2006,2005,1,547,0,5,1072,525,2,161647
179,3675,6,2005,2006,2005,2,547,0,5,1072,525,2,140000
180,3684,7,2007,2007,2007,2,1373,1,7,1555,660,3,174000
181,3696,8,1986,1986,1987,1,1074,0,5,1088,461,2,170000
182,3701,8,1987,1987,1987,2,1191,0,5,1204,461,2,159488
183,3710,7,2007,2007,2007,2,1266,1,6,1266,388,2,158608
184,3710,7,2007,2008,2007,2,1146,1,5,1246,428,2,152186
185,3735,7,1999,1999,1999,2,691,0,6,1452,506,2,183900
186,3768,7,1999,1999,1999,2,691,0,6,1452,506,2,171308
187,3784,8,2006,2007,2006,2,1511,0,5,1565,476,2,152125
188,3811,7,2004,2005,2004,2,1594,1,5,1646,482,2,156804
189,3811,8,2004,2005,2004,2,1594,1,5,1646,525,2,152799
190,3830,6,2008,2008,2008,2,1726,1,6,1726,561,2,149315
191,3842,8,2004,2005,2004,2,1594,1,5,1646,482,2,275000
192,3842,8,2004,2005,2004,2,1594,1,5,1646,525,2,164185
193,3843,8,2007,2008,2007,2,1596,1,5,1648,482,2,154865
194,3843,8,2007,2008,2007,2,1596,1,5,1648,525,2,157972
195,3869,5,1984,1984,1984,2,1038,0,5,1038,264,1,157816
196,3880,5,1945,1997,1978,1,686,0,4,866,0,0,110500
197,3901,6,2005,2006,2005,1,1302,1,5,1302,631,2,145708
198,3903,6,2005,2006,2005,1,1302,1,5,1302,631,2,142398
199,3907,8,1988,1988,1988,1,1004,0,4,1020,509,2,140196
200,3907,8,1989,1989,1989,1,982,1,4,1034,598,2,138607
201,3907,8,1989,1989,1989,2,1191,1,5,1191,531,2,150778
202,3922,7,2006,2007,2006,0,1258,1,7,1402,648,3,194201
203,3922,7,2006,2007,2007,2,1258,1,6,1258,648,3,172500
204,3940,7,2003,2003,2003,2,1415,1,6,1455,644,3,158163
205,3940,7,2004,2004,2004,2,1393,1,7,1576,668,3,154849
206,3950,6,1926,2004,1926,1,818,0,5,1224,210,1,115000
207,3951,6,2009,2009,2009,2,612,0,4,1224,528,2,164500
208,3951,10,1998,1999,1998,2,970,1,7,2393,846,2,151556
209,3960,7,1930,1950,1930,1,502,1,5,1004,200,1,158893
210,3964,6,1973,1973,1973,2,942,1,10,2521,576,2,151400
211,3982,8,2006,2006,2006,2,1520,1,7,1567,648,3,264561
212,4000,7,1930,1995,1930,1,531,1,5,1098,216,1,156969
213,4017,7,2006,2007,2006,2,625,0,5,1250,625,2,171900
214,4043,6,1975,1975,1975,2,1069,1,4,1069,440,2,159056
215,4043,6,1977,1977,1977,2,1069,0,4,1069,440,2,140000
216,4043,6,1977,1977,1977,2,1069,1,4,1069,440,2,127500
217,4045,7,2006,2006,2006,2,1356,1,6,1500,648,3,246578
218,4054,7,1987,1987,1987,2,1501,2,5,1501,512,2,161495
219,4058,7,1998,1998,1998,1,723,0,4,767,367,1,133000
220,4060,5,1922,1950,1978,1,864,0,4,864,0,0,99900
221,4060,6,1998,1999,1998,2,1405,0,5,1337,511,2,181000
222,4080,6,1935,1998,1920,1,901,0,6,1378,162,1,168607
223,4084,7,1986,1986,1986,2,1277,1,6,1501,512,2,157342
224,4109,9,1999,2000,1999,2,1557,1,5,1557,484,2,156286
225,4113,6,2001,2001,2001,2,1337,1,5,1337,511,2,158296
228,4217,6,2008,2008,2008,1,1145,1,5,1256,641,2,139010
229,4224,5,1975,1975,1975,1,1040,0,6,1040,499,2,169788
230,4224,5,1976,1976,1976,1,1040,1,6,1060,572,2,129900
231,4224,5,1976,1976,1976,1,1142,1,6,1142,528,2,134000
232,4230,7,2006,2007,2006,2,1352,1,5,1352,466,2,208900
233,4235,5,1984,1984,1984,2,1049,0,5,1049,266,1,151217
234,4251,7,2006,2007,2006,2,625,0,5,1250,528,2,164700
235,4270,3,1931,2006,1978,1,544,0,6,774,0,0,79000
236,4274,7,2006,2007,2007,1,1241,0,4,1241,569,2,199900
237,4280,4,1946,2001,1946,1,560,0,4,704,220,1,159040
239,4282,7,2004,2004,2004,2,1391,0,5,1391,530,2,196000
240,4330,4,1958,1958,1958,2,808,0,5,1315,436,2,166475
242,4379,8,2004,2004,2004,2,1378,1,6,1378,540,2,158820
243,4385,9,2001,2001,2001,1,1419,1,5,1419,588,2,160144
244,4388,5,1930,1950,1978,1,672,1,5,840,0,0,87000
245,4400,6,1920,1950,1990,1,648,0,6,1118,440,2,116000
246,4403,7,2009,2009,2009,2,1470,1,7,1478,484,2,222000
247,4426,6,2004,2004,2004,1,848,0,3,848,420,2,139214
248,4426,6,2004,2004,2004,1,848,0,3,848,420,2,143000
249,4426,6,2004,2004,2004,1,848,1,3,848,420,2,141000
250,4426,6,2004,2004,2004,1,848,1,3,848,420,2,149300
251,4435,6,2003,2003,2003,1,848,0,3,848,420,2,131500
252,4435,6,2003,2003,2003,1,848,0,3,848,420,2,136500
253,4435,6,2003,2003,2003,1,848,0,4,848,420,2,139647
254,4435,6,2003,2003,2003,1,848,0,4,848,420,2,140000
255,4435,6,2003,2003,2003,1,848,0,4,848,420,2,143237
256,4435,6,2003,2004,2003,1,848,0,4,848,420,2,144000
257,4435,6,2004,2004,2004,1,848,1,3,848,420,2,155900
258,4438,6,2004,2004,2004,1,848,1,3,848,420,2,149000
259,4438,6,2004,2004,2004,1,848,1,4,848,420,2,144500
260,4447,7,2003,2003,2003,2,530,0,4,1080,496,2,159851
261,4456,4,1920,2008,1978,2,736,0,8,1452,0,0,113000
262,4480,5,1922,1950,1922,1,1022,1,4,1022,184,1,153494
263,4484,5,1942,1979,1942,1,672,0,4,1282,240,1,159027
264,4485,5,1920,1950,1977,1,936,1,5,936,0,0,154126
265,4500,5,1932,2000,1968,1,793,0,6,1520,281,1,159434
266,4500,6,1997,1997,1997,2,1189,0,4,1189,392,2,154846
267,4500,6,1998,1998,1998,2,1204,0,5,1204,412,2,162000
268,4500,6,1998,1998,1998,2,1216,0,5,1216,402,2,164000
269,4500,6,1998,1998,1998,2,1237,0,5,1337,405,2,153500
270,4500,6,1999,1999,1999,2,1224,0,5,1224,402,2,165000
271,4538,9,2001,2001,2001,1,1310,1,5,1310,545,2,144959
273,4571,5,1916,1950,1916,1,624,0,7,1344,513,3,98000
274,4590,8,2006,2006,2006,2,1554,1,6,1554,627,2,157025
275,4590,8,2006,2006,2006,2,1554,1,6,1554,627,2,209500
276,4608,4,1945,1950,1945,1,747,0,4,747,220,1,80000
277,4671,8,1988,1989,1988,2,1228,1,5,1228,472,2,189000
278,4712,4,1946,1950,1946,1,747,0,5,1230,305,1,121600
279,4740,8,1988,1988,1988,2,1166,0,5,1179,480,2,162845
280,4750,8,2006,2007,2006,2,1573,1,5,1625,538,2,235000
281,4761,3,1918,1950,1977,1,1020,0,5,1020,0,0,163784
282,4765,9,2000,2000,2000,2,1614,1,5,1638,495,2,158682
284,4800,4,1916,1990,1957,1,1196,0,5,1196,440,2,109900
286,4800,5,1940,1950,1950,1,672,0,4,672,256,1,159856
287,4835,7,2004,2005,2004,2,1488,1,6,1488,506,2,152605
288,4853,5,1924,1999,1979,2,1107,1,5,1296,260,1,154850
289,4882,4,1937,1950,1937,1,348,0,5,906,231,1,161122
290,4899,6,1920,1950,1920,1,755,0,6,1510,216,1,172912
291,4920,8,2001,2001,2001,2,1338,0,6,1338,582,2,213500
292,4923,8,2001,2002,2001,1,1593,1,5,1593,682,2,286000
293,4928,6,1976,1976,1976,2,958,0,5,958,440,2,143750
294,4928,6,1976,1976,1977,2,1078,1,5,958,440,2,128000
295,4960,5,1930,1982,1955,2,297,1,7,1654,336,1,169234
297,5000,3,1946,1950,1977,1,666,0,4,666,0,0,156727
298,5000,4,1925,1950,1926,1,765,0,4,765,200,1,154034
300,5000,5,1924,1950,1924,2,1026,1,6,1691,308,1,127000
301,5000,5,1941,1950,1941,1,720,0,5,803,360,2,87000
302,5000,5,1941,2006,1941,1,672,0,6,1210,240,1,170211
303,5000,6,1926,1950,1926,1,992,0,6,1013,160,1,169106
304,5000,6,1947,1950,1950,2,1004,2,7,1664,420,2,159000
305,5001,7,2007,2008,2008,2,1314,1,6,1314,626,2,230000
306,5005,8,1992,1992,1992,2,1280,0,5,1280,506,2,150730
307,5062,7,1984,1984,1984,2,1190,1,6,2090,577,2,207500
308,5063,7,2007,2008,2008,2,1314,1,6,1314,626,2,207500
309,5070,8,1992,1992,1992,2,1280,0,5,1280,506,2,160387
310,5100,8,1925,1996,1925,1,588,1,7,1666,228,1,161000
311,5105,7,2004,2004,2004,2,551,0,4,1102,480,2,148800
312,5118,8,1990,1990,1990,1,1312,1,4,1321,484,2,148103
313,5119,9,1999,2000,1999,2,1698,1,5,1709,506,2,328900
314,5122,6,2005,2005,2005,2,1306,1,5,1306,624,2,140791
315,5142,4,1923,2008,1923,1,949,0,6,1292,205,1,171595
317,5160,4,1923,1950,1977,1,858,0,5,892,0,0,145286
318,5160,6,1927,1950,1927,1,1204,0,4,1666,384,1,172942
319,5175,5,1958,2000,1963,1,808,0,5,808,308,1,160387
320,5190,7,1948,1950,1948,1,570,1,5,1079,249,1,152889
321,5220,5,1936,1950,1936,1,830,0,4,879,180,1,154743
324,5271,7,1986,1986,1986,1,1453,1,6,1453,445,2,190000
326,5306,7,1987,1987,1987,2,1064,1,5,1767,504,2,239000
328,5330,4,1940,1950,1978,1,420,0,5,708,0,0,82500
329,5330,8,2000,2000,2000,2,1494,0,6,1652,499,2,251000
330,5330,8,2006,2007,2007,2,1550,0,5,1550,528,2,160692
332,5350,7,1920,1965,1935,1,624,0,7,1450,288,1,168690
334,5381,6,2005,2005,2005,2,1306,1,5,1306,624,2,196000
335,5389,8,1995,1996,1995,2,1595,1,5,1616,608,2,236500
336,5395,8,1993,1993,1993,2,1337,1,5,1337,462,2,180000
338,5400,4,1920,1950,1967,1,840,0,6,1374,338,1,105000
339,5400,4,1940,2005,1997,1,672,0,4,672,308,1,159932
340,5400,5,1920,1950,1920,1,691,0,4,691,216,1,86000
341,5400,5,1921,1968,1968,1,1073,0,4,1073,326,1,108480
342,5400,5,1954,2000,1955,1,833,0,4,833,326,1,117000
343,5400,5,1958,1958,1958,1,864,0,6,864,399,1,171895
344,5400,6,1920,1950,1920,1,972,0,6,1480,207,1,174520
345,5400,6,1926,2004,1926,2,1149,0,5,1616,216,1,152000
346,5400,7,1920,2006,1977,1,931,1,5,1027,0,0,154407
347,5436,4,1922,2007,1922,1,796,0,7,1154,240,1,125500
348,5470,3,1958,1958,1958,1,792,0,4,792,366,1,160277
349,5500,4,1956,1956,1978,1,882,0,4,882,0,0,103200
350,5500,5,1929,2001,1974,1,926,0,6,1316,484,2,130000
351,5500,7,2004,2004,2004,2,1073,0,4,1073,246,1,159714
352,5520,4,1920,1980,1920,1,1147,1,9,1657,162,1,188515
353,5520,5,1920,1997,1920,1,565,1,6,1216,355,1,170129
355,5568,8,2006,2007,2006,2,1573,1,5,1625,495,2,164475
356,5586,6,1920,1998,1978,1,901,0,7,1198,0,0,79900
357,5587,8,2008,2008,2008,2,1600,1,5,1652,482,2,392500
359,5604,5,1925,1950,1978,1,864,0,5,864,0,0,98000
360,5633,5,1925,1950,1925,1,844,0,5,844,216,1,162186
361,5664,8,2000,2000,2000,2,1501,1,5,1659,499,2,278000
364,5684,6,1930,2005,1932,1,813,0,5,813,270,1,110000
366,5700,7,1926,1950,1982,1,572,1,5,1111,288,1,116900
367,5700,7,1929,1990,1979,1,672,1,6,1344,456,2,176905
368,5707,6,1935,1950,1926,1,583,1,6,1242,180,1,168494
370,5747,3,1920,1950,1938,1,798,0,5,840,250,1,161305
371,5748,8,2005,2006,2005,2,1573,1,5,1778,495,2,156887
372,5775,6,1915,2002,1915,1,483,0,7,1427,379,1,167523
373,5784,5,1938,1996,1938,1,190,0,4,886,273,1,91300
374,5790,3,1915,1950,1915,2,840,0,8,1605,379,1,107400
375,5805,5,1957,1957,1957,1,1347,0,6,1347,551,2,171104
376,5814,8,1984,1984,1984,1,1220,1,4,1360,565,2,187500
377,5820,3,1955,2005,1955,1,1162,0,6,1163,220,1,126175
378,5825,4,1926,1953,1953,1,600,0,5,747,528,2,79900
379,5830,5,1950,1997,1950,1,988,0,7,1612,363,1,167839
381,5858,7,1999,1999,1999,2,1405,1,5,1337,511,2,157933
382,5868,5,1956,2000,1956,1,936,0,4,936,308,1,129000
384,5890,6,1930,2007,2002,1,816,0,5,816,432,1,120500
385,5900,4,1923,1958,1978,1,440,0,4,869,0,0,85500
386,5911,9,2005,2005,2005,2,1560,1,6,1565,556,2,158313
391,5925,4,1937,2000,1995,1,907,0,7,1131,672,2,89471
392,5940,4,1946,1950,1946,1,1046,0,4,896,280,1,157680
393,5950,8,1989,1989,1989,2,1337,1,5,1337,462,2,157699
394,5976,5,1920,1950,1977,2,624,0,8,1248,0,0,168385
395,6000,3,1948,2002,1981,1,649,0,6,1183,308,1,120000
396,6000,4,1920,1950,1997,1,960,0,5,960,308,1,108500
397,6000,4,1936,1950,1936,1,672,0,6,1324,240,1,128000
398,6000,4,1953,1953,1974,1,936,0,4,936,576,2,93000
399,6000,4,1954,2000,1954,1,901,0,4,901,281,1,107900
401,6000,5,1921,1950,1921,1,616,0,4,616,205,1,89000
402,6000,5,1924,1950,1924,1,468,0,6,1142,320,1,172386
403,6000,5,1924,1950,1976,1,816,0,7,1566,450,2,203840
404,6000,5,1924,2003,1924,1,949,1,5,949,370,2,161112
405,6000,5,1925,1997,1960,1,884,1,5,1348,216,1,117000
406,6000,5,1926,1950,1978,2,1008,0,7,1522,0,0,102000
407,6000,5,1948,1950,1948,1,789,0,5,789,250,1,115000
408,6000,5,1950,1970,1950,1,768,0,6,1328,308,1,169071
409,6000,5,1954,1954,1954,2,811,0,7,1387,256,1,93000
410,6000,5,1955,1955,1976,1,960,0,5,960,576,2,175079
411,6000,5,1957,1957,1957,1,928,0,5,928,288,1,112500
412,6000,5,1967,1967,1967,1,624,1,7,1656,288,1,174388
413,6000,6,1915,2005,1915,1,728,0,7,1456,308,1,186559
414,6000,6,1925,1980,1976,1,1103,1,5,1103,440,2,110500
415,6000,6,1926,2004,1926,1,884,0,4,904,180,1,119000
416,6000,6,1927,1950,1980,1,845,0,6,1296,576,2,175286
417,6000,6,1929,1950,1929,1,862,1,5,1158,208,1,120000
418,6000,6,1937,2000,1999,1,698,0,4,1176,624,2,134900
419,6000,6,1937,2000,2004,2,825,0,5,1497,672,1,172179
420,6000,6,1939,1950,1939,1,600,2,6,1232,217,1,169762
421,6000,6,1939,1950,1939,1,608,0,5,1132,240,1,156002
422,6000,6,1939,1950,1939,1,780,1,6,1412,280,1,132500
423,6000,6,1939,1950,1939,2,739,1,7,1342,240,1,157798
424,6000,6,1940,1950,1973,1,572,2,6,1196,576,2,168173
425,6000,6,1940,1989,1940,1,981,1,6,1672,240,1,174388
426,6000,6,1940,2006,1940,1,720,0,5,1090,240,1,174388
427,6000,6,1941,1950,2003,1,735,1,6,1218,440,2,131000
428,6000,6,1948,1950,1948,1,780,0,6,1416,312,1,168173
429,6001,6,1940,1950,1940,1,600,0,5,919,231,1,168175
433,6060,4,1939,1950,1979,1,732,0,4,1123,264,1,100000
434,6060,5,1930,2007,1930,1,837,0,5,1001,216,1,166548
436,6120,3,1930,1950,1930,1,728,0,6,1162,258,1,180839
437,6120,4,1935,1995,1935,1,884,0,6,1573,240,1,133000
438,6120,5,1920,2004,1933,1,939,0,8,1513,180,1,137500
439,6120,5,1923,1950,1960,2,1100,0,7,1902,576,2,191215
440,6120,5,1925,1950,1925,1,768,0,6,1015,450,1,88000
441,6120,5,1925,1999,1926,1,960,0,5,995,264,1,156031
442,6120,5,1926,1950,1926,1,756,0,6,1281,379,2,163351
443,6120,5,1930,1984,1930,1,741,0,7,1324,180,1,170895
444,6120,5,1931,1993,1931,1,715,0,5,875,180,1,105000
