,house_area,quality,year_built,year_remodel_add,garage_year_build,number_of_bathrooms,basement_area,has_Fireplaces_or_not,TotRmsAbvGrd,grade_living_area,garage_area,garage_capacite,SalePrice
144,9100,5,1963,1963,1963.0,2,1728,0,10,1728,504,2,125000
145,2522,6,2004,2006,2004.0,2,970,0,7,1709,380,2,130000
146,6120,5,1931,1993,1931.0,1,715,0,5,875,180,1,105000
147,9505,7,2001,2001,2001.0,2,884,1,8,2035,434,2,222500
148,7500,7,2004,2005,1978.5061638868744,1,1080,0,6,1080,0,0,141000
149,6240,5,1936,1950,1936.0,1,896,0,7,1344,240,1,115000
150,10356,5,1975,1975,1975.0,1,969,0,5,969,440,2,122000
151,13891,8,2007,2008,2007.0,2,1710,1,6,1710,866,3,372402
152,14803,6,1971,1971,1971.0,2,825,1,8,1993,495,2,190000
153,13500,6,1960,1975,1960.0,1,1602,1,4,1252,564,2,235000
154,11340,6,1923,1950,1923.0,1,1200,0,7,1200,312,1,125000
155,9600,6,1924,1950,1978.5061638868744,1,572,0,5,1096,0,0,79000
157,12003,8,2009,2010,2009.0,2,774,1,8,1968,680,3,269500
158,12552,7,2004,2005,2004.0,2,991,1,8,1947,678,2,254900
159,19378,7,2005,2006,2006.0,2,1392,1,9,2462,576,2,320000
160,11120,6,1984,1984,1984.0,2,1232,0,6,1232,516,2,162500
162,12182,7,2005,2005,2005.0,2,1541,1,7,1541,532,2,220000
163,5500,4,1956,1956,1978.5061638868744,1,882,0,4,882,0,0,103200
164,5400,6,1926,2004,1926.0,2,1149,0,5,1616,216,1,152000
165,10106,5,1940,1999,1978.5061638868744,2,644,0,6,1355,0,0,127500
166,10708,5,1955,1993,1955.0,1,1617,3,7,1867,303,1,190000
167,10562,8,2007,2007,2007.0,1,1582,1,8,2161,789,3,325624
168,8244,7,2004,2004,2004.0,2,840,1,7,1720,440,2,183500
169,16669,8,1981,1981,1981.0,2,1686,1,6,1707,511,2,228000
170,12358,5,1941,1950,1991.0,1,720,0,7,1382,660,2,128500
171,31770,6,1960,1960,1960.0,1,1080,2,7,1656,528,2,215000
172,5306,7,1987,1987,1987.0,2,1064,1,5,1767,504,2,239000
173,10197,6,1961,1961,1961.0,1,1362,1,6,1362,504,2,163000
174,12416,6,1986,1986,1986.0,2,1606,1,7,1651,616,2,184000
175,12615,6,1950,2001,1950.0,2,1202,1,7,2158,576,2,243000
176,10029,6,1988,1989,1988.0,2,1151,1,8,2060,521,2,211000
177,13650,5,1958,1958,1958.0,2,1052,1,8,1920,451,2,172500
179,8520,5,1923,2006,1935.0,1,968,0,5,968,480,2,100000
180,2117,6,2000,2000,2000.0,2,756,1,5,1525,440,2,177000
181,7588,7,1920,1950,1920.0,1,793,1,9,1802,216,1,200100
183,11426,7,2003,2003,2003.0,2,1362,0,6,2082,484,2,200000
184,7438,5,1908,1991,1986.0,1,504,0,5,1252,576,2,127000
186,9947,7,1990,1991,1990.0,2,1188,0,6,1217,497,2,173000
187,10410,5,1916,1987,1916.0,2,660,0,8,1656,180,1,135000
188,7018,5,1979,1979,1979.0,0,1086,2,6,1224,528,2,153337
189,4923,8,2001,2002,2001.0,1,1593,1,5,1593,682,2,286000
191,7472,7,1972,2004,1972.0,1,725,0,7,1479,484,2,184000
192,9017,7,1999,1999,1999.0,2,1431,0,6,1431,666,2,192000
193,2522,7,2004,2004,2004.0,2,970,0,7,1709,380,2,130000
194,7180,5,1972,1972,1989.0,1,864,0,5,864,352,1,127000
195,2280,6,1976,1976,1976.0,2,855,1,7,1456,440,2,148500
196,9416,7,2007,2007,2007.0,2,1726,1,8,1726,786,3,311872
198,5520,6,1912,1950,1978.5061638868744,1,755,0,8,2229,0,0,104000
199,9591,8,2004,2005,2004.0,2,1713,1,7,1713,856,3,274900
200,8546,4,2003,2004,2003.0,2,1121,0,5,1121,440,2,140000
201,10125,6,1977,1977,1980.0,2,1196,2,6,1279,473,2,171500
202,7000,6,1924,1950,1924.0,2,617,0,6,1310,398,1,112000
203,4438,6,2004,2004,2004.0,1,848,1,3,848,420,2,149000
204,3500,5,1947,1950,1948.0,1,720,0,5,1284,240,1,110000
205,11851,7,1990,1990,1990.0,2,1424,0,5,1442,500,2,180500
206,13673,5,1962,1962,1962.0,1,1140,1,8,1696,349,1,143900
207,12493,4,1960,1960,1960.0,1,1100,1,6,1100,312,1,141000
208,14364,7,1988,1989,1988.0,2,1157,1,7,2062,454,2,277000
209,8250,6,1964,1964,1964.0,1,1092,0,6,1092,504,2,145000
210,5604,5,1925,1950,1978.5061638868744,1,864,0,5,864,0,0,98000
211,10420,6,2009,2009,2009.0,2,1212,0,6,1212,460,2,186000
212,8640,7,2009,2009,2009.0,2,900,1,7,1852,644,2,252678
213,13568,5,1995,1995,1996.0,1,990,0,5,990,576,2,156000
214,10900,6,1977,1977,1977.0,1,689,0,6,1392,299,1,161750
215,10011,5,1957,1996,1957.0,1,1070,1,6,1236,447,1,134450
216,8450,7,2004,2004,2004.0,2,1436,0,8,1436,484,2,210000
217,9906,4,1925,1950,1940.0,1,686,0,8,1328,210,1,107000
218,15660,7,1939,2006,1939.0,1,798,2,8,1954,431,2,311500
219,3010,7,2005,2006,2005.0,2,1248,0,5,1248,438,2,167240
220,8990,7,2006,2006,2006.0,2,1498,0,5,1498,675,2,204900
221,8068,6,2002,2002,2002.0,2,1010,1,8,2267,390,2,200000
222,11475,6,1975,1975,1975.0,2,713,1,6,1552,434,2,179900
223,10500,4,1971,1971,1989.0,1,864,0,4,864,576,2,97000
225,1680,5,1971,1971,1991.0,2,630,0,6,1302,280,1,112000
226,9950,7,1995,1995,1995.0,2,1203,1,9,2520,721,3,290000
227,1869,6,1970,1970,1987.0,1,483,0,5,987,280,1,106000
228,8521,5,1967,1967,1974.0,1,912,1,5,912,336,1,125000
229,3182,7,2005,2006,2005.0,2,1373,1,7,1555,430,2,192500
230,8760,6,1959,1959,1959.0,1,1194,0,6,1194,312,1,148000
232,1680,6,1972,1972,1972.0,1,483,1,5,987,288,1,94500
233,10650,5,1976,1976,1976.0,1,894,0,5,894,308,1,128200
234,7851,6,2002,2002,2002.0,2,860,2,8,1960,440,2,216500
235,1680,6,1971,1971,1971.0,1,483,0,5,987,264,1,89500
236,8773,7,2004,2004,2004.0,2,1414,0,6,1414,494,2,185500
237,9453,7,1993,2003,1993.0,2,996,0,7,1744,457,2,194500
238,12030,8,2007,2007,2007.0,2,1694,0,7,1694,818,3,318000
239,8741,6,1945,1950,1949.0,1,735,1,7,1487,220,1,113000
240,9000,8,2008,2008,2008.0,2,1566,0,7,1566,750,2,262500
241,3880,5,1945,1997,1978.5061638868744,1,686,0,4,866,0,0,110500
243,10762,6,1980,1980,1980.0,1,626,1,6,1217,288,1,120000
244,8880,7,1994,2002,1994.0,2,948,2,8,2110,463,2,205000
245,10400,7,1988,1988,1988.0,2,1845,1,6,1872,604,2,241500
246,9142,6,1910,1950,1910.0,2,1020,0,9,1928,440,1,137000
247,11310,6,1954,1954,1954.0,1,1367,1,5,1375,451,2,140000
248,11317,7,2003,2003,2003.0,2,840,0,8,1668,500,2,180000
249,159000,6,1958,2006,1958.0,2,1444,2,7,2144,389,2,277000
250,5350,3,1940,1966,1978.5061638868744,1,728,0,6,1306,0,0,76500
251,4750,8,2006,2007,2006.0,2,1573,1,5,1625,538,2,235000
252,8366,6,2004,2004,2004.0,2,798,0,6,1640,520,2,173000
253,9350,6,1964,1991,1964.0,2,1302,0,7,1302,309,1,158000
254,8400,5,1957,1957,1957.0,1,1314,0,5,1314,294,1,145000
255,8738,7,1999,1999,1999.0,2,975,1,8,2291,429,2,230000
256,8791,6,2003,2003,2003.0,2,864,0,7,1728,673,2,207500
257,8814,7,2006,2006,2006.0,2,1604,1,8,1604,660,2,220000
258,12435,7,2001,2001,2001.0,2,963,1,7,1792,564,2,231500
260,19296,6,1962,1962,1991.0,1,1362,1,6,1382,884,2,176000
261,9588,8,2007,2007,2007.0,2,1482,1,10,2574,868,3,276000
262,8471,6,1977,1995,1978.0,1,506,1,6,1212,492,2,151000
263,5500,5,1929,2001,1974.0,1,926,0,6,1316,484,2,130000
264,5232,5,1925,2004,1965.0,1,680,0,4,764,504,2,73000
265,12090,6,1981,1981,1981.0,2,1422,1,7,1422,576,2,175500
266,11207,6,1997,1997,1997.0,2,802,1,8,1511,413,2,185000
267,8400,5,1939,1997,1939.0,2,720,1,8,2192,240,1,179500
268,6900,5,1940,1955,1966.0,1,740,1,4,778,924,1,120500
269,7917,6,1976,1976,1987.0,1,1143,1,6,1113,504,1,148000
270,10728,8,2006,2006,2006.0,2,1095,1,8,1939,1053,3,266000
271,39104,7,1954,2005,1954.0,1,1385,2,5,1363,439,2,241500
272,11764,8,1999,2007,1999.0,2,1152,1,9,2270,671,3,290000
273,9600,6,1958,1988,1958.0,2,1240,1,6,1632,338,1,139000
274,8314,5,1982,1982,1982.0,1,816,0,5,816,264,1,124500
275,7264,7,1925,2007,1978.0,2,952,0,5,1548,672,2,205000
276,9196,7,2003,2003,2003.0,2,1560,0,7,1560,573,2,201000
277,19138,4,1951,1951,1951.0,1,864,0,4,864,400,2,141000
279,10005,7,1977,1977,1977.0,2,1160,1,8,2022,505,2,192000
280,11287,7,1989,1989,1989.0,2,807,1,7,1982,575,2,228500
281,7200,6,2006,2006,2006.0,2,1262,0,5,1262,572,2,185000
282,5063,7,2007,2008,2008.0,2,1314,1,6,1314,626,2,207500
283,9612,8,2008,2009,2008.0,2,1468,1,6,1468,898,3,244600
284,8012,6,1992,1992,1992.0,2,1575,0,5,1575,529,2,179200
285,4251,7,2006,2007,2006.0,2,625,0,5,1250,528,2,164700
286,9786,6,1962,1981,1962.0,1,912,1,7,1734,440,2,159000
287,8125,4,1971,1971,1978.5061638868744,1,858,0,5,858,0,0,88000
288,9819,5,1967,1967,1970.0,1,882,0,5,900,280,1,122000
289,8730,6,1915,2003,2003.0,1,698,0,7,1396,384,1,153575
290,15611,8,2006,2006,2006.0,2,1079,1,8,1919,685,2,233230
291,5687,5,1912,2000,1978.5061638868744,2,780,0,9,1716,0,0,135900
292,11409,5,1949,2008,1949.0,1,768,1,8,1716,281,1,131000
293,16659,7,1977,1994,1977.0,2,795,1,9,2263,539,2,235000
294,9600,6,1953,1953,1953.0,1,1416,2,7,1644,418,2,167000
295,7937,6,1984,1984,1984.0,1,1003,0,6,1003,588,2,142500
296,13710,5,1950,1950,1950.0,1,910,0,6,1558,282,1,152000
297,7399,7,1997,1998,1997.0,2,975,1,7,1950,576,2,239000
298,11700,6,1968,1968,1968.0,1,702,1,7,1743,539,2,175000
299,14000,6,1950,2004,1950.0,1,1092,1,6,1152,300,1,158500
300,15750,5,1953,1953,1953.0,1,1165,2,5,1336,375,1,157000
301,16226,8,1998,1999,1998.0,2,1028,1,9,2452,683,2,267000
302,13704,7,2001,2002,2001.0,2,1541,1,6,1541,843,3,205000
303,9800,5,1972,1972,1975.0,1,894,0,5,894,552,2,149900
305,10386,8,2004,2005,2004.0,2,2000,0,8,2000,888,3,305900
306,13474,7,1990,1991,1990.0,2,700,1,8,2243,746,3,225000
307,7920,6,1920,1950,1978.5061638868744,1,319,0,6,1406,0,0,89500
308,12342,4,1940,1950,1961.0,1,861,0,4,861,539,2,82500
309,12378,9,2003,2004,2003.0,2,1896,3,8,1944,708,3,360000
310,7685,6,1993,1994,1993.0,2,697,1,6,1501,420,2,165600
311,8000,6,1948,2002,1948.0,1,972,1,5,972,240,1,132000
312,7800,5,1939,1950,1939.0,1,793,1,5,1118,410,2,119900
314,9600,7,1925,1990,1925.0,1,728,1,6,1641,546,2,178000
315,7795,7,2004,2005,2004.0,2,716,1,6,1432,432,2,188500
316,13005,7,1980,1980,1983.0,2,845,1,10,2353,484,2,260000
317,9000,8,2006,2006,2006.0,2,1088,1,8,1959,1025,3,270000
318,9900,7,1993,1993,1993.0,2,1347,1,9,2646,656,3,260000
319,14115,7,1980,1980,1980.0,2,1372,2,6,1472,588,2,187500
320,16259,9,2006,2006,2006.0,3,1249,0,9,2596,840,3,342643
321,12099,8,2004,2004,2004.0,2,1136,1,10,2468,872,3,354000
323,5820,3,1955,2005,1955.0,1,1162,0,6,1163,220,1,126175
325,5000,5,1941,1950,1941.0,1,720,0,5,803,360,2,87000
326,10846,8,1993,1993,1993.0,1,1719,2,6,1719,473,2,324000
327,11600,6,1960,1960,1960.0,1,1383,0,7,1383,292,1,145250
328,11888,6,1916,1994,1930.0,2,844,0,10,2134,441,2,214500
329,6402,5,1920,1950,1920.0,1,596,0,6,1192,189,1,78000
330,10624,5,1964,1964,2002.0,2,1728,0,10,1728,352,1,119000
331,8176,5,1958,1992,1958.0,1,1056,0,6,1056,308,1,139000
333,8198,7,2004,2004,2004.0,2,1358,1,6,1358,484,2,207000
334,9042,6,1998,1998,1998.0,2,943,2,7,1638,472,2,192000
335,164660,5,1965,1965,1965.0,2,1499,2,7,1786,529,2,228950
336,14157,9,2005,2006,2005.0,2,1922,1,8,1922,676,3,377426
337,9135,7,2002,2003,2002.0,2,1536,0,7,1536,532,2,214000
338,14145,7,1984,1998,1984.0,2,1208,0,8,1621,440,2,202500
339,12400,6,1958,1998,1958.0,1,1215,0,6,1215,297,1,155000
340,14191,8,2002,2002,2002.0,2,967,0,9,1908,431,2,202900
341,8400,4,1950,1950,1950.0,1,721,0,4,841,294,1,82000
343,8849,9,2005,2005,2005.0,2,1684,1,6,1684,564,2,266000
344,2592,5,1976,1976,1976.0,1,536,0,4,1112,336,1,85000
345,6435,6,1939,1950,1939.0,1,972,1,6,1577,312,1,140200
346,12772,6,1960,1998,1960.0,1,958,0,5,958,301,1,151500
347,17600,6,1960,1960,1960.0,2,1478,2,6,1478,498,2,157500
348,2448,7,2003,2004,2003.0,2,764,0,6,1626,474,2,154000
350,7820,9,2007,2007,2007.0,2,1869,1,6,1869,617,2,318061
351,5271,7,1986,1986,1986.0,1,1453,1,6,1453,445,2,190000
352,9084,5,1941,1950,1941.0,1,616,0,5,1111,200,1,95000
353,8520,6,1928,2003,2005.0,1,624,0,5,720,484,2,105900
354,8400,6,1940,2000,1940.0,1,940,2,6,1595,240,1,140000
355,11249,6,1995,1995,1995.0,2,1200,0,6,1200,521,2,177500
356,9248,6,1992,1992,1992.0,2,1158,0,6,1167,400,2,173000
357,4224,5,1976,1976,1976.0,1,1142,1,6,1142,528,2,134000
358,6930,5,1958,1958,1958.0,1,1062,0,6,1352,288,1,130000
359,12011,8,1998,1998,1998.0,2,1086,1,7,1924,592,2,280000
360,7540,6,1978,1978,1978.0,1,888,1,5,912,470,2,156000
361,9144,5,1940,1982,1940.0,1,883,0,8,1505,240,1,145000
363,1680,6,1972,2007,1972.0,1,483,0,5,987,264,1,118000
364,18800,6,1976,1976,1976.0,2,796,1,6,1574,566,2,190000
365,10690,5,1920,1997,1964.0,1,672,0,6,1344,468,1,147000
366,9500,6,1963,1963,1963.0,1,1394,2,6,1394,514,2,159000
367,9150,6,1962,1962,1962.0,1,1099,1,6,1431,296,1,165000
368,7800,5,1954,1954,1954.0,1,1268,1,7,1268,244,1,132000
369,9830,5,1959,2006,1997.0,1,1063,1,7,1287,576,2,162000
370,8121,6,2000,2000,2000.0,2,953,1,7,1664,460,2,172400
372,7175,6,1984,1984,1984.0,1,744,0,4,752,264,1,125000
373,10634,5,1953,1953,1953.0,1,608,0,5,1319,270,1,123000
374,8200,7,2003,2004,2003.0,2,847,1,8,1928,434,2,219500
376,8846,5,1996,1996,1998.0,1,870,0,5,914,576,2,148000
377,11143,8,2004,2005,2004.0,3,1580,1,8,2466,610,2,340000
379,8123,6,2000,2000,2000.0,2,982,1,7,1800,463,2,179000
380,5000,5,1924,1950,1924.0,2,1026,1,6,1691,308,1,127000
381,7200,7,2006,2006,2006.0,2,1293,1,5,1301,572,2,187750
382,9245,7,2006,2006,2006.0,2,939,0,8,1797,639,2,213500
383,9000,6,1928,1950,1950.0,1,784,0,5,784,360,2,76000
384,53107,6,1992,1992,1992.0,2,1580,2,9,1953,501,2,240000
385,3182,8,2004,2005,2004.0,2,1256,1,6,1269,430,2,192000
386,8410,5,1910,1996,1978.5061638868744,1,658,0,8,1184,0,0,81000
387,7200,6,1976,1976,1977.0,1,1041,1,6,1125,352,1,125000
388,9382,7,1999,2000,1999.0,2,1468,0,6,1479,577,2,191000
389,12474,10,2007,2008,2008.0,2,1682,1,9,2332,846,3,426000
391,12209,6,2001,2002,2001.0,2,804,1,7,1961,560,2,215000
393,7446,4,1941,1950,1978.5061638868744,1,788,2,4,788,0,0,100000
394,10134,5,1940,1950,1940.0,1,735,0,5,1034,240,1,109000
395,9571,5,1956,1956,1956.0,1,1144,0,6,1144,596,1,129000
396,7200,5,1972,1972,1985.0,1,894,0,6,894,600,2,123000
397,7590,5,1962,1962,1962.0,2,864,1,8,1812,264,1,169500
398,8967,5,1920,1950,1920.0,1,961,0,6,1077,338,1,67000
399,8125,7,2006,2007,2007.0,2,1092,0,7,1550,438,2,241000
400,14963,8,1996,1996,1996.0,1,1260,2,4,1288,500,2,245500
401,8767,7,2005,2005,2005.0,2,1310,1,6,1310,400,2,164990
402,10200,5,1940,1997,1940.0,1,672,0,4,672,240,1,108000
403,12090,8,1998,1998,1998.0,2,1141,1,10,2263,420,2,258000
404,10364,6,1995,1996,1995.0,2,806,1,7,1572,373,2,168000
405,9991,4,1976,1993,1993.0,2,1281,1,8,1620,490,2,150000
406,10480,6,1936,1950,1936.0,1,1064,0,6,1639,240,1,115000
407,15576,6,1915,1976,1960.0,2,840,0,8,1680,308,1,177000
408,14154,7,2006,2006,2006.0,2,1063,1,9,2172,947,3,280000
409,10800,8,2007,2008,2008.0,2,1034,1,8,2078,836,3,339750
411,34650,5,1955,1955,1955.0,1,1056,0,5,1056,572,2,145000
412,4403,7,2009,2009,2009.0,2,1470,1,7,1478,484,2,222000
413,8960,5,1927,1950,1927.0,1,1008,1,5,1028,360,2,115000
