,Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearRemodAdd,MasVnrArea,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageArea,WoodDeckSF,OpenPorchSF,MoSold,YrSold,SalePrice,Totalarea,TotalBsmtFin,TotalSF,TotalBath,TotalPorch,MSZoning_FV,MSZoning_RH,MSZoning_RL,MSZoning_RM,LotConfig_CulDSac,LotConfig_FR2,LotConfig_FR3,LotConfig_Inside,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,Exterior1st_AsphShn,Exterior1st_BrkComm,Exterior1st_BrkFace,Exterior1st_CBlock,Exterior1st_CemntBd,Exterior1st_HdBoard,Exterior1st_ImStucc,Exterior1st_MetalSd,Exterior1st_Plywood,Exterior1st_Stone,Exterior1st_Stucco,Exterior1st_VinylSd,Exterior1st_Wd Sdng,Exterior1st_WdShing,ExterQual_Fa,ExterQual_Gd,ExterQual_TA,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,BsmtQual_Fa,BsmtQual_Gd,BsmtQual_TA,BsmtExposure_Gd,BsmtExposure_Mn,BsmtExposure_No,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,GarageFinish_RFn,GarageFinish_Unf,SaleCondition_AdjLand,SaleCondition_Alloca,SaleCondition_Family,SaleCondition_Normal,SaleCondition_Partial
19,20,20,70.0,7560,5,6,1965,0.0,1029,1339,0,1339,0,1,0,3,6,0,1958.0,294,0,0,5,2009,5.143014800254095,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0
20,21,60,101.0,14215,8,5,2006,380.0,1158,1158,1218,2376,0,3,1,4,9,1,2005.0,853,240,154,11,2006,5.512284063281854,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
21,22,45,57.0,7449,7,7,1950,0.0,637,1108,0,1108,0,1,0,3,6,1,1930.0,280,0,0,6,2007,5.144262773761991,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
22,23,20,75.0,9742,8,5,2002,281.0,1777,1795,0,1795,0,2,0,3,7,1,2002.0,534,171,159,9,2008,5.361727836017593,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
23,24,120,44.0,4224,5,7,1976,0.0,1040,1060,0,1060,1,1,0,3,6,1,1976.0,572,100,110,6,2007,5.113609151073028,1,1,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
24,25,20,56.0,8246,5,8,2001,0.0,1060,1060,0,1060,1,1,0,3,6,1,1968.0,270,406,90,5,2010,5.187520720836463,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
25,26,20,110.0,14230,8,5,2007,640.0,1566,1600,0,1600,0,2,0,3,7,1,2007.0,890,0,56,7,2009,5.408748606184244,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
26,27,20,60.0,7200,5,7,2000,0.0,900,900,0,900,0,1,0,3,5,0,2005.0,576,222,32,5,2010,5.129689892199301,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
27,28,20,98.0,11478,8,5,2008,200.0,1704,1704,0,1704,1,2,0,3,7,1,2008.0,772,0,50,5,2010,5.48572142648158,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0
28,29,20,47.0,16321,5,6,1997,0.0,1484,1600,0,1600,1,1,0,2,6,2,1957.0,319,288,258,12,2006,5.317018101048111,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
29,30,30,60.0,6324,4,6,1950,0.0,520,520,0,520,0,1,0,1,4,0,1920.0,240,49,0,5,2008,4.835690571492425,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
30,31,70,50.0,8500,4,4,1950,0.0,649,649,668,1317,0,1,0,3,6,0,1920.0,250,0,54,7,2008,4.6020599913279625,1,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
31,32,20,55.0,8544,5,6,2006,0.0,1228,1228,0,1228,0,1,1,3,6,0,1966.0,271,0,65,6,2008,5.174205226940147,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
32,33,20,85.0,11049,8,5,2007,0.0,1234,1234,0,1234,0,2,0,3,7,0,2007.0,484,0,30,1,2008,5.255031163345551,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
33,34,20,70.0,10552,5,5,1959,0.0,1398,1700,0,1700,0,1,1,4,6,1,1959.0,447,0,38,4,2010,5.218797998111738,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0
34,35,120,60.0,7313,9,5,2005,246.0,1561,1561,0,1561,1,2,0,2,6,1,2005.0,556,203,47,8,2007,5.443262987458695,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
35,36,60,108.0,13418,8,5,2005,132.0,1117,1132,1320,2452,0,3,1,4,9,1,2004.0,691,113,32,9,2006,5.489958479424835,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
36,37,20,112.0,10859,5,5,1995,0.0,1097,1097,0,1097,0,1,1,3,6,0,1995.0,672,392,64,6,2009,5.161368002234975,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0
37,38,20,74.0,8532,5,6,1990,650.0,1297,1297,0,1297,0,1,0,3,5,1,1954.0,498,0,0,10,2009,5.184691430817598,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0
38,39,20,68.0,7922,5,7,2007,0.0,1057,1057,0,1057,1,1,0,3,5,0,1953.0,246,0,52,1,2010,5.037426497940624,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
39,40,90,65.0,6040,4,5,1955,0.0,0,1152,0,1152,0,2,0,2,6,0,1953.0,0,0,0,6,2008,4.913813852383717,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
40,41,20,84.0,8658,6,5,1965,101.0,1088,1324,0,1324,0,2,0,3,6,1,1965.0,440,0,138,12,2006,5.204119982655925,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0
41,42,20,115.0,16905,5,6,1959,0.0,1350,1328,0,1328,0,1,1,2,5,2,1959.0,308,0,104,7,2007,5.230448921378274,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
42,43,85,54.0,9180,5,7,1983,0.0,840,884,0,884,1,1,0,2,5,0,1983.0,504,240,0,12,2007,5.158362492095249,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
43,44,20,51.0,9200,5,6,1980,0.0,938,938,0,938,1,1,0,3,5,0,1977.0,308,145,0,7,2008,5.114777731971562,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0
44,45,20,70.0,7945,5,6,1959,0.0,1150,1150,0,1150,1,1,0,3,6,0,1959.0,300,0,0,5,2006,5.14921911265538,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
45,46,120,61.0,7658,9,5,2005,412.0,1752,1752,0,1752,1,2,0,2,6,1,2005.0,576,196,82,2,2010,5.505014240084107,1,1,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
46,47,50,48.0,12822,7,5,2003,0.0,1434,1518,631,2149,1,1,1,1,6,1,2003.0,670,168,43,8,2009,5.3796426677411535,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
47,48,20,84.0,11096,8,5,2006,0.0,1656,1656,0,1656,0,2,0,3,7,0,2006.0,826,0,146,7,2007,5.397418542351348,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
48,49,190,33.0,4456,4,5,2008,0.0,736,736,716,1452,0,2,0,2,8,0,1957.0,0,0,0,6,2009,5.05307844348342,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
49,50,20,66.0,7742,5,7,1966,0.0,955,955,0,955,1,1,0,3,6,0,1966.0,386,0,0,1,2007,5.103803720955957,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
50,51,60,62.0,13869,6,6,1997,0.0,794,794,676,1470,0,2,0,3,6,0,1997.0,388,0,75,7,2007,5.247973266361806,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
51,52,50,52.0,6240,6,6,1950,0.0,816,816,0,1176,0,1,0,3,6,1,1985.0,528,112,0,9,2006,5.058805486675907,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
52,53,90,110.0,8472,5,5,1963,0.0,816,816,0,816,1,1,0,2,5,0,1963.0,516,106,0,5,2010,5.041392685158225,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
53,54,20,68.0,50271,9,5,1987,0.0,1842,1842,0,1842,2,0,1,0,5,1,1981.0,894,857,72,11,2006,5.585460729508501,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
54,55,80,60.0,7134,5,5,1955,0.0,384,1360,0,1360,0,1,0,3,6,1,1962.0,572,0,50,2,2007,5.113943352306837,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
55,56,20,100.0,10175,6,5,1964,272.0,1425,1425,0,1425,0,2,0,3,7,1,1964.0,576,0,0,7,2008,5.2564772062416765,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
56,57,160,24.0,2645,8,5,2000,456.0,970,983,756,1739,1,2,1,3,7,0,1999.0,480,115,0,8,2009,5.236789099409293,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
57,58,60,89.0,11645,7,5,2004,0.0,860,860,860,1720,0,2,1,3,7,0,2004.0,565,0,70,8,2006,5.293362554711446,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
58,59,60,66.0,13682,10,5,2006,1031.0,1410,1426,1519,2945,0,3,1,3,10,1,2006.0,641,192,0,10,2006,5.642246823807891,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
59,60,20,60.0,7200,5,7,1972,0.0,780,780,0,780,0,1,0,2,4,0,1973.0,352,196,0,1,2008,5.096562438374136,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
60,61,20,63.0,13072,6,5,2004,0.0,1158,1158,0,1158,1,1,1,3,5,0,2006.0,576,0,50,5,2006,5.198657086954422,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
61,62,75,60.0,7200,5,7,1996,0.0,530,581,530,1111,0,1,0,3,6,0,1935.0,288,0,0,3,2007,5.004321373782642,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
62,63,120,44.0,6442,8,5,2006,178.0,1370,1370,0,1370,0,2,0,2,6,1,2006.0,484,120,49,10,2007,5.306425027550687,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0
63,64,70,50.0,10300,7,6,1950,0.0,576,902,808,1710,0,2,0,3,9,0,1990.0,480,12,11,4,2010,5.146128035678238,1,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0
64,65,60,72.0,9375,7,5,1998,573.0,1057,1057,977,2034,1,2,1,3,8,0,1998.0,645,576,36,2,2009,5.3414345245781405,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
65,66,60,76.0,9591,8,5,2005,344.0,1143,1143,1330,2473,0,2,1,4,9,1,2004.0,852,192,151,10,2007,5.501059262217751,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
66,67,20,62.0,19900,7,5,1989,287.0,1947,2207,0,2207,1,2,0,3,7,1,1970.0,576,301,0,7,2010,5.2552725051033065,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
67,68,20,72.0,10665,7,5,2003,167.0,1453,1479,0,1479,1,2,0,3,7,0,2003.0,558,144,29,6,2007,5.354108439147401,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0
